##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
1905.325, 2.3173230E-02
1907.254, 2.2723241E-02
1909.182, 2.3754871E-02
1911.110, 2.3598449E-02
1913.039, 2.3511080E-02
1914.967, 2.3856901E-02
1916.896, 2.4329821E-02
1918.824, 2.5083100E-02
1920.753, 2.4156339E-02
1922.681, 2.2648649E-02
1924.610, 2.3262139E-02
1926.538, 2.4723841E-02
1928.467, 2.6079550E-02
1930.395, 2.5493121E-02
1932.324, 2.2788480E-02
1934.252, 2.2208421E-02
1936.181, 2.3344010E-02
1938.109, 2.3839081E-02
1940.037, 2.3340940E-02
1941.966, 2.4476711E-02
1943.894, 2.4801370E-02
1945.823, 2.3093240E-02
1947.751, 2.2586361E-02
1949.680, 2.3645390E-02
1951.608, 2.3842890E-02
1953.537, 2.3466291E-02
1955.465, 2.2924259E-02
1957.394, 2.1951120E-02
1959.322, 2.2530461E-02
1961.251, 2.2862639E-02
1963.179, 2.2433691E-02
1965.108, 2.2084000E-02
1967.036, 2.4043569E-02
1968.964, 2.2695471E-02
1970.893, 1.8881220E-02
1972.821, 1.7884551E-02
1974.750, 1.8829070E-02
